problema,Problema nos faróis,Faróis com defeito,Faróis não funcionam,Faróis inoperantes,Faróis quebrados,Faróis fora de serviço,Faróis com problema,Faróis não acendem
problema,Temperatura do motor muito alta,Motor superaquecido,Calor excessivo no motor,Motor muito quente,Aquecimento elevado do motor,Sobreaquecimento do motor,Motor aquecendo além do normal,Excesso de calor no motor,Motor com temperatura crítica,Elevada temperatura do motor,Motor atingindo altas temperaturas
problema,Dificuldade ao trocar de marcha,Dificuldade ao engatar marcha,Problemas na troca de marchas,Falha ao engatar as marchas,Engate de marcha difícil,Complicação ao selecionar marcha,Dificuldade ao mudar de marcha,Problemas na seleção de marchas,Engate de marcha com problemas,Troca de marchas defeituosa,Problemas ao acionar a marcha
problema,Desgaste irregular nos pneus,Desgaste desigual nos pneus,Desgaste anômalo nos pneus,Desgaste inconsistente nos pneus,Desgaste não uniforme nos pneus,Desgaste assimétrico nos pneus,Desgaste irregular nos pneus,Desgaste anormal nos pneus,Desgaste desbalanceado nos pneus,Desgaste desproporcional nos pneus,Desgaste diferenciado nos pneus
problema,Fumaça preta pelo escapamento,Fumaça negra saindo do escapamento,Emissão de gases escuros pelo tubo de escape,Nuvem de fumaça preta pelo escapamento,Vapor escuro saindo do escapamento,Fumaça carbonizada pelo tubo de escape,Emissão de fumaça preta pelo escapamento,Fumaça escura pelo tubo de escape,Liberação de fumaça negra pelo escapamento,Saída de fumaça preta pelo escape,Exalação de fumaça preta pelo escapamento
problema,Faróis não funcionam,Luzes dianteiras apagadas,Luzes dos faróis inoperantes,Luzes dos faróis defeituosas,Luzes dos faróis fora de serviço,Luzes dos faróis quebradas,Luzes dos faróis não acendem,Luzes dos faróis com problema,Luzes dos faróis não respondem,Luzes dos faróis inativas,Luzes dos faróis desativadas
problema,Aquecimento do motor,Sobreaquecimento do motor,Motor superaquecendo,Motor aquecendo em excesso,Temperatura elevada do motor,Motor com calor excessivo,Motor muito quente,Aquecimento anormal do motor,Motor superaquecido,Motor aquecendo além do normal,Excesso de calor no motor
problema,Vazamento de óleo,Fuga de óleo,Escapamento de óleo,Perda de óleo,Óleo vazando,Óleo derramando,Óleo gotejando,Óleo se esvaindo,Óleo pingando,Óleo exsudando,Óleo escorrendo
problema,Suspensão batendo,Barulho na suspensão,Ruído na suspensão,Som na suspensão,Batidas na suspensão,Impactos na suspensão,Sons na suspensão,Rangido na suspensão,Estalos na suspensão,Trancos na suspensão,Marteladas na suspensão
problema,Vidros elétricos não funcionam,Janela elétrica inoperante,Vidro elétrico quebrado,Janela elétrica não responde,Vidro elétrico com defeito,Janela elétrica fora de serviço,Janela elétrica não sobe,Janela elétrica não desce,Janela elétrica sem funcionamento,Janela elétrica travada,Vidro elétrico não abre
problema,Cheiro de gasolina no interior,Odor de gasolina no interior,Aroma de gasolina no interior,Cheiro de combustível no carro,Odor de combustível no carro,Cheiro forte de gasolina no veículo,Odor de gasolina no veículo,Cheiro de gasolina dentro do carro,Aroma de combustível dentro do veículo,Cheiro de gasolina no habitáculo,Odor de gasolina no habitáculo
problema,Barulho ao frear,Ruído ao acionar os freios,Som estranho ao frear,Barulho nos freios ao parar,Ruído nos freios ao parar,Som nos freios durante a frenagem,Ruído dos freios ao parar,Som de rangido nos freios,Barulho de chiado nos freios,Barulho metálico ao frear,Som de atrito nos freios
problema,Bateria descarregando rapidamente,Bateria perdendo carga velozmente,Bateria esvaziando rapidamente,Bateria não segurando carga,Bateria se esvaindo rapidamente,Bateria descarregando com rapidez,Bateria sem carga rapidamente,Bateria se esvaindo velozmente,Bateria perdendo energia rapidamente,Bateria se descarregando rápido
problema,Desempenho ruim no ar-condicionado,Ar-condicionado ineficiente,Ar-condicionado com baixa performance,Ar-condicionado fraco,Ar-condicionado sem potência,Ar-condicionado deficiente,Ar-condicionado com má performance,Ar-condicionado não eficiente,Ar-condicionado com desempenho fraco,Ar-condicionado com baixa eficiência,Ar-condicionado sem desempenho
problema,Desgaste irregular nas pastilhas de freio,Desgaste desigual nas pastilhas de freio,Desgaste anômalo nas pastilhas de freio,Desgaste inconsistente nas pastilhas de freio,Desgaste não uniforme nas pastilhas de freio,Desgaste assimétrico nas pastilhas de freio,Desgaste irregular nos freios,Desgaste anormal nos freios,Desgaste desbalanceado nos freios,Desgaste desproporcional nos freios,Desgaste diferenciado nos freios
problema,Falha no limpador de para-brisas,Limpador de para-brisas não funciona,Limpador de para-brisas com defeito,Limpador de para-brisas quebrado,Limpador de para-brisas inoperante,Limpador de para-brisas fora de serviço,Limpador de para-brisas não responde,Limpador de para-brisas sem funcionamento,Limpador de para-brisas defeituoso,Limpador de para-brisas parado,Limpador de para-brisas sem operação
problema,Faróis baixos,Luzes dianteiras fracas,Faróis com pouca luminosidade,Faróis pouco eficientes,Luzes dos faróis com pouca intensidade,Faróis de baixa intensidade,Luzes dos faróis fracas,Faróis com pouca luz,Iluminação dos faróis fraca,Faróis pouco potentes,Luzes frontais fracas
problema,Pedal do acelerador preso,Pedal do acelerador travado,Pedal do acelerador não volta,Pedal do acelerador emperrado,Pedal do acelerador sem resposta,Pedal do acelerador agarrado,Pedal do acelerador bloqueado,Pedal do acelerador fixo,Pedal do acelerador estagnado,Pedal do acelerador parado,Pedal do acelerador rígido
problema,Porta não fecha corretamente,Porta não tranca,Porta não se fecha,Porta não encaixa,Porta com defeito de fechamento,Porta com problema para fechar,Porta sem fechamento,Porta com fechamento irregular,Porta com dificuldade para fechar,Porta com defeito na tranca,Porta com problema na trava
problema,Sistema de navegação não funciona,Nav GPS inoperante,Sistema de navegação com defeito,Navegador GPS quebrado,Navegador GPS fora de serviço,Navegador GPS não responde,Navegador GPS sem funcionamento,Sistema de navegação com problema,Sistema de navegação defeituoso,Navegador GPS inativo,Navegador GPS sem operação
problema,Vidros embaçando rapidamente,Janela embaçada rapidamente,Vidro embaçando rápido,Janela com condensação rápida,Vidro com neblina rápida,Janela ficando embaçada,Janela ficando fosca,Vidro ficando opaco,Janela perdendo visibilidade,Vidro com condensação rápida,Janela ficando nublada
problema,Vibração na direção,Tremores no volante,Oscilações no volante,Vibrações na coluna de direção,Agitação no volante,Balançar no volante,Solavancos na direção,Tremulação na direção,Vibrações na roda,Instabilidade na direção,Chacoalhar na direção
problema,Câmbio de marchas duros,Dificuldade ao engatar marchas,Problemas ao trocar marchas,Troca de marchas difícil,Engate de marchas rígido,Câmbio difícil de manusear,Marchas duras ao trocar,Engate de marchas complicado,Troca de marchas problemática,Mudar marchas com dificuldade,Câmbio não suave
problema,Cintos de segurança não retraem,Cintos de segurança travados,Cintos de segurança não voltam,Cintos de segurança presos,Cintos de segurança emperrados,Cintos de segurança rígidos,Cintos de segurança agarrados,Cintos de segurança não retraem bem,Cintos de segurança bloqueados,Cintos de segurança fixos,Cintos de segurança sem movimento
problema,Luz interna não acende,Luz do interior apagada,Iluminação interna inoperante,Lâmpada interna queimada,Iluminação do interior defeituosa,Luz de cabine fora de serviço,Iluminação interna não funciona,Luz do interior sem resposta,Iluminação interna inativa,Luz de cabine com problema,Iluminação interna sem operação
problema,Marcha lenta irregular,Motor em marcha lenta instável,Motor em marcha lenta desregulado,Motor com marcha lenta oscilante,Motor com marcha lenta inconstante,Motor com marcha lenta variando,Motor em marcha lenta irregular,Motor com marcha lenta falhando,Motor com marcha lenta instável,Motor em marcha lenta com problema,Motor com marcha lenta não suave
problema,Motor não acelera,Motor sem resposta ao acelerador,Motor não aumenta a rotação,Motor não responde ao acelerador,Motor não acelera bem,Motor sem aceleração,Motor não ganha rotação,Motor sem força ao acelerar,Motor não acelera rápido,Motor não responde bem ao acelerador,Motor com falha na aceleração
problema,Oscilação do motor,Motor irregular,Motor instável,Motor variando,Motor com variação,Motor não constante,Motor flutuante,Motor inconstante,Motor não estável
problema,Porta-malas não abre,Porta-malas preso,Porta-malas não destrava,Porta-malas não responde,Porta-malas travado,Porta-malas emperrado,Porta-malas bloqueado,Porta-malas não funciona,Porta-malas com problema
problema,Volante desalinhado,Direção desalinhada,Volante torto,Volante fora do eixo,Volante descentrado,Volante não alinhado,Direção fora do alinhamento,Volante com problema de alinhamento,Volante fora do centro,Volante desalinhado
problema,Luz de freio não acende,Luz de freio apagada,Luz de freio com defeito,Luz de freio não funciona,Luz de freio inoperante,Luz de freio queimada,Luz de freio não acende,Luz de freio sem resposta,Luz de freio desligada,Luz de freio fora de serviço
problema,Ar quente não funciona,Aquecedor inoperante,Aquecedor com defeito,Aquecedor não responde,Aquecedor não funciona bem,Aquecedor fora de serviço,Aquecedor defeituoso,Aquecedor quebrado,Aquecedor inativo,Aquecedor sem funcionamento
problema,Banco não ajusta,Banco travado,Banco não se move,Banco com defeito,Banco preso,Banco emperrado,Banco não regula,Banco não funciona,Banco sem ajuste,Banco bloqueado,Banco não ajusta
problema,Cheiro de queimado,Odor de queimado,Aroma de queimado,Fumaça de queimado,Cheiro de fumaça queimada,Odor de algo queimado,Cheiro de queimado forte,Aroma de material queimado,Cheiro de incinerado,Odor de algo incinerado,Cheiro de queimado
problema,Câmera de ré não funciona,Câmera de ré inoperante,Câmera de ré com defeito,Câmera de ré quebrada,Câmera de ré não responde,Câmera de ré fora de serviço,Câmera de ré defeituosa,Câmera de ré inativa,Câmera de ré sem funcionamento,Câmera de ré não funciona
problema,Desempenho fraco ao frear,Frenagem insuficiente,Frenagem fraca,Frenagem ineficiente,Frenagem deficiente,Frenagem com baixa performance,Frenagem não eficaz,Frenagem com problemas,Frenagem inadequada,Frenagem com deficiência
problema,Falha na luz de ré,Luz de ré apagada,Luz de ré queimada,Luz de ré com defeito,Luz de ré não funciona,Luz de ré inoperante,Luz de ré sem resposta,Luz de ré desligada,Luz de ré fora de serviço,Luz de ré defeituosa
problema,Luz do ABS acesa,Indicador ABS ativado,Luz do ABS ligada,Luz do ABS piscando,Luz do ABS em alerta,Luz do ABS não apaga,Luz do ABS com problema,Luz do ABS sinalizando,Alerta do ABS ativado,Luz do ABS acesa
problema,Retrovisores não ajustam,Retrovisores travados,Retrovisores com defeito,Retrovisores não funcionam,Retrovisores não se movem,Retrovisores quebrados,Retrovisores inoperantes,Retrovisores não respondem,Retrovisores emperrados,Retrovisores fora de serviço
problema,Rádio não liga,Rádio inoperante,Rádio com defeito,Rádio quebrado,Rádio não funciona,Rádio sem sinal,Rádio sem resposta,Rádio inativo,Rádio não opera,Rádio fora de serviço,Rádio não liga
problema,Sistema de chave não reconhecido,Chave não identificada,Chave não reconhecida,Chave não aceita,Chave sem resposta,Chave não validada,Chave não funciona,Chave não autorizada,Chave não compatível,Chave não lida,Sistema não reconhece a chave
problema,Ruído na suspensão,Barulho na suspensão,Som na suspensão,Ruído nos amortecedores,Ruído no sistema de suspensão,Barulho nos amortecedores,Som nos componentes da suspensão,Ruído nos eixos,Barulho nas molas,Som nas juntas da suspensão,Ruído nos braços de suspensão
problema,Vibração ao dirigir,Tremores ao conduzir,Oscilações durante a direção,Vibrações no volante,Agitação ao dirigir,Balançar ao conduzir,Solavancos durante a direção,Tremulação ao dirigir,Vibrações no automóvel,Instabilidade ao conduzir,Chacoalhar ao dirigir
problema,Direção pesada,Direção difícil,Direção rígida,Direção dura,Direção forçada,Direção tensa,Direção resistente,Direção enrijecida,Direção inflexível,Direção árdua,Direção exigente
problema,Luzes do painel piscando,Indicadores do painel piscando,Sinais do painel piscando,Luzes do painel intermitentes,Lâmpadas do painel piscando,Avisos luminosos piscando,Luzes de advertência piscando,Sinalizadores do painel piscando,Luzes indicadoras piscando,Alarmes luminosos piscando,Iluminação do painel piscando
problema,Ar condicionado fraco,Ar condicionado deficiente,Ar condicionado insuficiente,Baixa eficiência do ar condicionado,Desempenho reduzido do ar condicionado,Ar condicionado com baixa potência
problema,Barulho estranho no motor,Ruído anômalo no motor,Som incomum no motor,Ruído peculiar no motor,Som fora do normal no motor,Barulho atípico no motor,Barulho no motor
problema,Carro puxando para um lado,Veículo desviando para um lado,Automóvel inclinando para um lado,Carro tendendo para um lado,Veículo puxando lateralmente,Automóvel desviando de trajetória
problema,Dificuldade na ignição,Problema ao dar partida,Falha na ignição,Dificuldade para ligar o motor,Dificuldade para iniciar o carro,Problema ao ligar o veículo,Demora para dar partida,Ignição problemática,Carro com dificuldade de partida,Motor que não liga facilmente,Problema ao acionar a ignição
problema,Falha no indicador de combustível,Defeito no marcador de combustível,Problema no medidor de combustível,Mau funcionamento do indicador de combustível,Indicador de combustível avariado,Marcador de combustível defeituoso,Indicador de combustível inoperante,Falha no medidor de combustível,Deficiência no indicador de combustível,Indicador de combustível impreciso,Erro no marcador de combustível
problema,Falha no sistema de freios,Defeito no sistema de frenagem,Problema nos freios,Mal funcionamento dos freios,Falha nos componentes de frenagem,Anomalia nos freios,Desempenho inadequado dos freios,Comprometimento do sistema de frenagem,Pane no sistema de freios,Incapacidade de frenagem,Ineficiência dos freios
problema,Fumaça branca pelo escapamento,Vapor branco saindo do escapamento,Fumaça clara pelo tubo de escape,Emissão branca pelo escapamento,Fumaça esbranquiçada pelo escapamento,Nuvem branca do tubo de escape,Fumaça opaca pelo escapamento,Gás branco saindo do escapamento,Emissão esbranquiçada pelo escape,Vapor opaco pelo tubo de escape,Exalação branca pelo escapamento
problema,Luz de alerta acesa,Luz indicadora ativada,Sinal de alerta ligado,Luz de aviso acesa,Indicador luminoso aceso,Luz de advertência acesa,Alerta luminoso ativado,Lâmpada de aviso ligada,Sinalizador de alerta aceso,Aviso luminoso ligado,Indicador de advertência aceso
problema,Motor falhando,Motor com defeito,Motor apresentando problemas,Motor falhando,Motor com mau funcionamento,Motor falha,Motor quebrado,Motor parando,Motor defeituoso,Motor problemático,Motor não funcionando corretamente
problema,Perda de potência,Redução de potência,Falta de força,Diminuição de desempenho,Enfraquecimento do motor,Baixa performance,Falha na aceleração,Potência reduzida,Desempenho fraco,Queda de potência,Motor sem força
problema,Pneu esvaziando muito rápido,Pneu desinflando rapidamente,Pneu perdendo ar rapidamente,Pneu murchando rapidamente,Pneu desinflando velozmente,Pneu esvaziando de forma acelerada,Pneu com perda rápida de pressão,Pneu ficando murcho rapidamente,Pneu despressurizando rapidamente,Pneu vazando ar rapidamente,Pneu esvaziando de maneira rápida
problema,Pneus desgastando rapidamente,Pneus se desgastando aceleradamente,Pneus perdendo borracha rapidamente,Pneus desgastando com rapidez,Pneus deteriorando-se velozmente,Pneus ficando carecas rapidamente,Pneus sofrendo desgaste acelerado,Pneus desintegrando-se rapidamente,Pneus consumindo-se rapidamente,Pneus se esvaindo rapidamente,Pneus desmanchando rapidamente
problema,Problemas ao engatar marcha,Dificuldade ao trocar de marcha,Problemas na troca de marchas,Falha ao engatar as marchas,Engate de marcha difícil,Complicação ao selecionar marcha,Dificuldade ao mudar de marcha,Problemas na seleção de marchas,Engate de marcha com problemas,Troca de marchas defeituosa,Problemas ao acionar a marcha
problema,Saindo fumaça do capô,Fumaça saindo do motor,Fumaça escapando pelo capô,Emissão de fumaça do capô,Fumaça visível do compartimento do motor,Vapor saindo do capô,Fumaça exalando do motor,Capô soltando fumaça,Fumaça emergindo do capô,Fumaça escapando do compartimento do motor,Fumaça liberada pelo capô
problema,Ruídos e vibrações no pedal de freio,Barulhos no pedal de freio,Vibrações no pedal de freio,Som no pedal de freio,Tremores no pedal de freio,Ruídos no sistema de freio,Oscilações no pedal de freio,Resposta vibrante do pedal de freio,Sons estranhos no pedal de freio,Trepidações no pedal de freio,Sinais de vibração no pedal de freio
